city,state,avg_aqi,max_aqi,pct_bad_days,pct_crisis_days,aqi_volatility,winter_avg_aqi,summer_avg_aqi,monsoon_avg_aqi,winter_pct_bad_days,first_year,last_year,early_aqi,recent_aqi,aqi_change,trend_direction,state_population,population_millions,total_vehicles,vehicles_per_1000_people,pct_ev_vehicles,pct_motor_cars,respiratory_cases,respiratory_deaths,case_fatality_rate,total_monitoring_days,data_reliability,aqi_severity_score,market_attractiveness_score,health_impact_score,urgency_score,composite_priority_score,priority_tier,estimated_annual_health_cost,addressable_households
Darbhanga,Bihar,207.7,473.0,47.17,28.01,123.6,317.5,159.3,98.4,87.43,2021,2023,248.9,364.7,115.9,Worsening,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,407,Low,66.6,23.4,100.0,93.7,67.6,Tier 2 - Early Expansion,57574440.0,1102000.0
Gurgaon,Haryana,222.7,494.0,56.87,29.4,112.4,300.0,237.9,140.6,85.78,2015,2018,146.3,215.0,68.6,Worsening,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,779,Medium,72.4,30.0,69.2,92.9,66.4,Tier 2 - Early Expansion,17667533.0,955463.0
Ghaziabad,Uttar Pradesh,213.3,500.0,49.32,23.63,110.3,303.7,195.9,142.8,83.07,2017,2025,259.9,173.9,-86.0,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2954,High,68.2,56.0,100.0,51.5,65.7,Tier 2 - Early Expansion,596699640.0,3739185.0
Greater Noida,Uttar Pradesh,206.4,500.0,47.22,19.89,102.9,289.8,187.7,143.8,80.71,2018,2025,223.9,148.7,-75.2,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2569,High,66.4,56.0,100.0,50.4,64.8,Tier 2 - Early Expansion,577397120.0,3739185.0
NOIDA,Uttar Pradesh,200.0,500.0,43.88,20.19,105.2,288.9,180.2,132.9,81.44,2017,2025,219.9,151.7,-68.2,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2942,High,64.2,56.0,100.0,50.7,64.1,Tier 2 - Early Expansion,559493333.0,3739185.0
Baghpat,Uttar Pradesh,186.5,465.0,40.36,16.36,102.5,260.4,186.4,123.3,71.7,2018,2025,240.8,166.4,-74.5,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2096,High,61.0,56.0,100.0,45.9,61.8,Tier 2 - Early Expansion,521727533.0,3739185.0
Bulandshahr,Uttar Pradesh,177.7,500.0,36.94,12.83,100.2,258.2,164.7,111.4,71.39,2018,2025,223.0,143.0,-80.0,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2447,High,58.5,56.0,100.0,45.7,60.9,Tier 2 - Early Expansion,497109827.0,1495674.0
Lucknow,Uttar Pradesh,173.8,494.0,34.74,14.48,100.4,262.0,155.0,106.3,70.21,2015,2025,182.0,143.7,-38.3,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,3592,High,57.1,56.0,100.0,45.1,60.3,Tier 2 - Early Expansion,486199707.0,1495674.0
Muzaffarnagar,Uttar Pradesh,179.3,446.0,38.57,12.42,92.8,248.1,169.2,125.6,68.48,2018,2025,220.2,131.7,-88.4,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2230,High,57.9,56.0,100.0,44.2,60.3,Tier 2 - Early Expansion,501585773.0,1495674.0
Meerut,Uttar Pradesh,173.9,459.0,37.22,11.85,95.3,241.6,157.6,116.2,67.68,2019,2025,251.0,129.1,-121.9,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2085,High,57.1,56.0,100.0,43.8,59.9,Tier 2 - Early Expansion,486479453.0,1495674.0
